AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
BELLVILLE PD,0,3,2,6,17,45,0,73,4235,2015,Austin County
SEALY ISD PD,0,0,0,1,1,5,0,7,0,2015,Austin County
AUSTIN CO SO,0,3,2,13,48,61,8,135,17499,2015,Austin County
WALLIS PD,0,0,0,0,3,10,0,13,1284,2015,Austin County
SEALY PD,0,2,0,33,52,162,5,254,6336,2015,Austin County
DANBURY PD (NR),0,1,0,0,0,2,0,3,1767,2015,Brazoria County
ALVIN COMM COLLEGE PD,0,0,0,0,0,13,1,14,0,2015,Brazoria County
SURFSIDE BEACH PD,0,0,0,2,4,11,4,21,544,2015,Brazoria County
ANGLETON ISD PD,0,1,0,1,0,16,0,18,0,2015,Brazoria County
SWEENY PD,0,0,1,7,23,53,1,85,3780,2015,Brazoria County
WEST COLUMBIA PD,0,3,2,10,17,54,4,90,3953,2015,Brazoria County
OYSTER CREEK PD,0,0,1,10,14,19,8,52,1138,2015,Brazoria County
MANVEL PD,0,0,2,12,80,41,11,146,7752,2015,Brazoria County
ANGLETON PD,1,15,8,29,59,320,18,450,19629,2015,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,2,0,34,0,36,0,2015,Brazoria County
BRAZORIA CO SO,1,17,20,106,340,748,124,1356,117448,2015,Brazoria County
ALVIN PD,0,11,4,29,102,574,33,753,25842,2015,Brazoria County
PEARLAND PD,2,49,45,71,315,1744,105,2331,106850,2015,Brazoria County
ALVIN ISD PD,0,1,0,3,2,96,1,103,0,2015,Brazoria County
CLUTE PD,0,0,5,12,21,138,6,182,11437,2015,Brazoria County
FREEPORT PD,0,7,3,29,79,183,15,316,12227,2015,Brazoria County
RICHWOOD PD,0,0,0,0,11,15,3,29,3816,2015,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,0,1,0,1,0,0,2,1578,2015,Brazoria County
JONES CREEK PD (NR),0,0,0,2,3,7,0,12,2087,2015,Brazoria County
LAKE JACKSON PD,0,6,8,23,70,376,23,506,27802,2015,Brazoria County
BRAZORIA PD,0,3,2,4,8,31,2,50,3089,2015,Brazoria County
COLLEGE STATION PD,2,62,38,132,393,1964,98,2689,105855,2015,Brazos County
BRYAN PD,5,55,64,239,441,2010,122,2936,82050,2015,Brazos County
BRAZOS CO SO,2,11,3,75,107,206,12,416,25223,2015,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,3,0,1,28,448,12,492,0,2015,Brazos County
CHAMBERS CO SO,3,10,12,92,135,500,79,831,29603,2015,Chambers County
MONT BELVIEU PD,0,2,2,2,9,87,32,134,5098,2015,Chambers County
BARBERS HILL ISD PD,0,0,0,1,0,4,1,6,0,2015,Chambers County
ARCOLA PD,0,0,1,3,11,1116,1,1132,1672,2015,Fort Bend County
MEADOWS PLACE PD,0,0,3,8,17,67,6,101,4778,2015,Fort Bend County
SUGAR LAND PD,1,11,42,29,206,1239,25,1553,88810,2015,Fort Bend County
NEEDVILLE PD,0,3,1,4,1,26,1,36,3087,2015,Fort Bend County
FORT BEND CO SO,8,69,130,623,1134,2851,248,5063,438341,2015,Fort Bend County
ROSENBERG PD,4,19,24,58,146,377,41,669,35238,2015,Fort Bend County
FORT BEND ISD PD,0,1,4,9,8,431,0,453,0,2015,Fort Bend County
MISSOURI CITY PD,1,25,59,63,230,930,108,1416,72879,2015,Fort Bend County
STAFFORD PD,0,10,26,47,98,518,63,762,18492,2015,Fort Bend County
RICHMOND PD,0,9,8,24,53,226,13,333,12121,2015,Fort Bend County
FULSHEAR PD,0,0,1,5,11,61,1,79,5000,2015,Fort Bend County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,0,8,0,8,0,2015,Galveston County
LA MARQUE PD,4,14,22,47,157,527,35,806,15768,2015,Galveston County
KEMAH PD,0,1,5,1,11,156,3,177,2008,2015,Galveston County
UNIV OF TX: MEDICAL BRANCH PD,0,0,0,0,0,109,5,114,0,2015,Galveston County
GALVESTON CO SO,3,29,21,72,275,678,93,1171,39877,2015,Galveston County
GALVESTON PD,2,61,76,85,335,1296,187,2042,50065,2015,Galveston County
SANTA FE ISD PD,0,0,0,0,1,18,0,19,0,2015,Galveston County
GALVESTON ISD PD,0,0,0,4,3,11,0,18,0,2015,Galveston County
HITCHCOCK PD,0,1,2,12,41,93,20,169,7558,2015,Galveston County
DICKINSON PD,0,10,17,16,104,322,39,508,19810,2015,Galveston County
BAYOU VISTA PD (NR),0,1,0,1,9,13,0,24,1576,2015,Galveston County
FRIENDSWOOD PD,1,17,3,7,60,277,18,383,38851,2015,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,0,0,1,0,11,0,12,0,2015,Galveston County
JAMAICA BEACH PD,0,0,0,0,5,13,2,20,1041,2015,Galveston County
TEXAS CITY PD,3,19,61,103,233,1142,83,1644,46976,2015,Galveston County
SANTA FE PD,0,14,0,18,47,114,14,207,12982,2015,Galveston County
LEAGUE CITY PD,1,25,25,37,240,1454,73,1855,97172,2015,Galveston County
GRIMES CO SO,0,3,1,15,100,130,14,263,19973,2015,Grimes County
NAVASOTA PD,0,6,4,61,50,156,13,290,7406,2015,Grimes County
UNIV OF ST. THOMAS PD,0,2,0,0,0,7,0,9,0,2015,Harris County
PASADENA ISD PD,0,4,2,3,15,79,7,110,0,2015,Harris County
JACINTO CITY PD,0,1,23,8,53,162,29,276,10870,2015,Harris County
LA PORTE PD,0,27,11,41,95,402,63,639,35336,2015,Harris County
RICE UNIV PD,0,0,3,1,8,194,4,210,0,2015,Harris County
UNIV OF HOUSTON PD,0,4,11,6,42,433,23,519,0,2015,Harris County
SPRING BRANCH ISD PD,0,0,7,3,5,47,1,63,0,2015,Harris County
PORT OF HOUSTON AUTH PD,0,0,0,5,0,20,2,27,0,2015,Harris County
HOUSTON PD,303,986,10278,10427,19859,66634,13560,122047,2275221,2015,Harris County
WEBSTER PD,1,9,12,25,105,552,71,775,11236,2015,Harris County
JERSEY VILLAGE PD,0,1,5,10,71,105,35,227,7975,2015,Harris County
ALIEF ISD PD,0,0,3,65,2,48,8,126,0,2015,Harris County
HUMBLE PD,0,30,60,60,147,1380,165,1842,15734,2015,Harris County
TOMBALL PD,1,5,9,18,24,230,29,316,11435,2015,Harris County
HOUSTON BAPTIST UNIV PD,0,1,1,1,13,32,0,48,0,2015,Harris County
